"Atm";"ProcessDate";"Withdrawal"
"ATM3";"2017-01-01";100
"ATM3";"2017-01-02";10580
"ATM3";"2017-01-03";15550
"ATM3";"2017-01-04";8010
"ATM3";"2017-01-05";14690
"ATM3";"2017-01-06";990
"ATM3";"2017-01-07";10490
"ATM3";"2017-01-08";3650
"ATM3";"2017-01-09";22760
"ATM3";"2017-01-10";41810
"ATM3";"2017-01-11";13360
"ATM3";"2017-01-12";21810
"ATM3";"2017-01-13";15590
"ATM3";"2017-01-14";16960
"ATM3";"2017-01-15";8220
"ATM3";"2017-01-16";16500
"ATM3";"2017-01-17";4690
"ATM3";"2017-01-18";20700
"ATM3";"2017-01-19";20610
"ATM3";"2017-01-20";22860
"ATM3";"2017-01-21";11030
"ATM3";"2017-01-22";5230
"ATM3";"2017-01-23";14520
"ATM3";"2017-01-24";19430
"ATM3";"2017-01-25";10390
"ATM3";"2017-01-26";13940
"ATM3";"2017-01-27";26090
"ATM3";"2017-01-28";11910
"ATM3";"2017-01-29";11380
"ATM3";"2017-01-30";18530
"ATM3";"2017-02-01";9180
"ATM3";"2017-02-02";13630
"ATM3";"2017-02-03";15880
"ATM3";"2017-02-04";10470
"ATM3";"2017-02-05";6120
"ATM3";"2017-02-06";13710
"ATM3";"2017-02-07";16190
"ATM3";"2017-02-08";20560
"ATM3";"2017-02-09";18070
"ATM3";"2017-02-10";30170
"ATM3";"2017-02-11";31560
"ATM3";"2017-02-12";9510
"ATM3";"2017-02-13";33250
"ATM3";"2017-02-14";13950
"ATM3";"2017-02-15";13380
"ATM3";"2017-02-16";40580
"ATM3";"2017-02-17";19750
"ATM3";"2017-02-18";31610
"ATM3";"2017-02-19";9200
"ATM3";"2017-02-20";23190
"ATM3";"2017-02-21";13190
"ATM3";"2017-02-22";12980
"ATM3";"2017-02-23";14840
"ATM3";"2017-02-24";10480
"ATM3";"2017-02-25";12210
"ATM3";"2017-02-26";11540
"ATM3";"2017-02-27";11920
"ATM3";"2017-02-28";25880
"ATM3";"2017-03-01";20480
"ATM3";"2017-03-02";14280
"ATM3";"2017-03-03";20820
"ATM3";"2017-03-04";23850
"ATM3";"2017-03-05";17310
"ATM3";"2017-03-06";15120
"ATM3";"2017-03-07";17050
"ATM3";"2017-03-08";18870
"ATM3";"2017-03-09";31430
"ATM3";"2017-03-10";38970
"ATM3";"2017-03-11";22190
"ATM3";"2017-03-12";2400
"ATM3";"2017-03-13";4020
"ATM3";"2017-03-14";25680
"ATM3";"2017-03-15";27010
"ATM3";"2017-03-16";26810
"ATM3";"2017-03-17";19180
"ATM3";"2017-03-18";10920
"ATM3";"2017-03-19";9660
"ATM3";"2017-03-20";26220
"ATM3";"2017-03-21";16810
"ATM3";"2017-03-22";9600
"ATM3";"2017-03-23";26540
"ATM3";"2017-03-24";33130
"ATM3";"2017-03-25";30090
"ATM3";"2017-03-26";8320
"ATM3";"2017-03-27";29110
"ATM3";"2017-03-28";15540
"ATM3";"2017-03-29";11120
"ATM3";"2017-03-30";41940
"ATM3";"2017-03-31";16580
"ATM3";"2017-04-01";16260
"ATM3";"2017-04-02";4100
"ATM3";"2017-04-03";11840
"ATM3";"2017-04-04";15410
"ATM3";"2017-04-05";22090
"ATM3";"2017-04-06";13370
"ATM3";"2017-04-07";16810
"ATM3";"2017-04-08";23030
"ATM3";"2017-04-09";39260
"ATM3";"2017-04-10";27360
"ATM3";"2017-04-11";18250
"ATM3";"2017-04-12";27870
"ATM3";"2017-04-13";28190
"ATM3";"2017-04-14";28450
"ATM3";"2017-04-15";16420
"ATM3";"2017-04-16";100
"ATM3";"2017-04-17";2300
"ATM3";"2017-04-18";25730
"ATM3";"2017-04-19";29690
"ATM3";"2017-04-20";18040
"ATM3";"2017-04-21";14560
"ATM3";"2017-04-22";12950
"ATM3";"2017-04-23";6450
"ATM3";"2017-04-24";12870
"ATM3";"2017-04-25";19610
"ATM3";"2017-04-26";14250
"ATM3";"2017-04-27";15640
"ATM3";"2017-04-28";41270
"ATM3";"2017-04-29";10690
"ATM3";"2017-04-30";5360
"ATM3";"2017-05-01";2020
"ATM3";"2017-05-02";10640
"ATM3";"2017-05-03";2520
"ATM3";"2017-05-04";23320
"ATM3";"2017-05-05";26900
"ATM3";"2017-05-06";14190
"ATM3";"2017-05-07";5300
"ATM3";"2017-05-08";46960
"ATM3";"2017-05-09";26700
"ATM3";"2017-05-10";43290
"ATM3";"2017-05-11";10940
"ATM3";"2017-05-12";27690
"ATM3";"2017-05-13";15700
"ATM3";"2017-05-14";9980
"ATM3";"2017-05-15";26440
"ATM3";"2017-05-16";15510
"ATM3";"2017-05-17";22800
"ATM3";"2017-05-18";15110
"ATM3";"2017-05-19";29380
"ATM3";"2017-05-20";16940
"ATM3";"2017-05-21";12400
"ATM3";"2017-05-22";13510
"ATM3";"2017-05-23";15540
"ATM3";"2017-05-24";20950
"ATM3";"2017-05-25";27210
"ATM3";"2017-05-26";15970
"ATM3";"2017-05-27";13720
"ATM3";"2017-05-28";7160
"ATM3";"2017-05-29";13620
"ATM3";"2017-05-30";16730
"ATM3";"2017-05-31";37110
"ATM3";"2017-06-01";34940
"ATM3";"2017-06-02";20770
"ATM3";"2017-06-03";25600
"ATM3";"2017-06-04";2000
"ATM3";"2017-06-05";14850
"ATM3";"2017-06-06";11810
"ATM3";"2017-06-07";17040
"ATM3";"2017-06-08";31210
"ATM3";"2017-06-09";52420
"ATM3";"2017-06-10";26040
"ATM3";"2017-06-11";12490
"ATM3";"2017-06-12";12360
"ATM3";"2017-06-13";24720
"ATM3";"2017-06-14";37330
"ATM3";"2017-06-15";520
"ATM3";"2017-06-16";19420
"ATM3";"2017-06-17";12650
"ATM3";"2017-06-18";10020
"ATM3";"2017-06-19";4440
"ATM3";"2017-06-20";22310
"ATM3";"2017-06-21";15660
"ATM3";"2017-06-22";25820
"ATM3";"2017-06-23";26360
"ATM3";"2017-06-24";21890
