"Atm";"ProcessDate";"Withdrawal"
"ATM7";"2017-01-02";14210
"ATM7";"2017-01-03";20660
"ATM7";"2017-01-04";13400
"ATM7";"2017-01-05";17940
"ATM7";"2017-01-07";4650
"ATM7";"2017-01-08";18290
"ATM7";"2017-01-09";26100
"ATM7";"2017-01-10";2530
"ATM7";"2017-01-11";17340
"ATM7";"2017-01-12";5380
"ATM7";"2017-01-13";5830
"ATM7";"2017-01-14";11240
"ATM7";"2017-01-15";8730
"ATM7";"2017-01-16";9320
"ATM7";"2017-01-17";5000
"ATM7";"2017-01-18";6130
"ATM7";"2017-01-19";9370
"ATM7";"2017-01-20";8760
"ATM7";"2017-01-21";8750
"ATM7";"2017-01-22";2500
"ATM7";"2017-01-23";14770
"ATM7";"2017-01-24";31410
"ATM7";"2017-01-25";24700
"ATM7";"2017-01-26";11480
"ATM7";"2017-01-27";12590
"ATM7";"2017-01-28";11660
"ATM7";"2017-01-29";4080
"ATM7";"2017-01-30";21070
"ATM7";"2017-01-31";8700
"ATM7";"2017-02-01";21140
"ATM7";"2017-02-02";5750
"ATM7";"2017-02-03";9430
"ATM7";"2017-02-04";11160
"ATM7";"2017-02-05";1090
"ATM7";"2017-02-06";7990
"ATM7";"2017-02-07";9350
"ATM7";"2017-02-08";10470
"ATM7";"2017-02-09";14580
"ATM7";"2017-02-10";13350
"ATM7";"2017-02-11";9190
"ATM7";"2017-02-12";6990
"ATM7";"2017-02-13";3050
"ATM7";"2017-02-14";9890
"ATM7";"2017-02-15";8850
"ATM7";"2017-02-16";25540
"ATM7";"2017-02-17";13690
"ATM7";"2017-02-18";4500
"ATM7";"2017-02-19";420
"ATM7";"2017-02-20";4060
"ATM7";"2017-02-21";8620
"ATM7";"2017-02-22";19470
"ATM7";"2017-02-23";21250
"ATM7";"2017-02-24";11930
"ATM7";"2017-02-25";7520
"ATM7";"2017-02-26";6810
"ATM7";"2017-02-27";14060
"ATM7";"2017-02-28";10800
"ATM7";"2017-03-01";18740
"ATM7";"2017-03-02";22540
"ATM7";"2017-03-03";11450
"ATM7";"2017-03-04";9020
"ATM7";"2017-03-05";4960
"ATM7";"2017-03-06";11590
"ATM7";"2017-03-07";13630
"ATM7";"2017-03-08";8550
"ATM7";"2017-03-09";28960
"ATM7";"2017-03-10";26130
"ATM7";"2017-03-11";6350
"ATM7";"2017-03-12";3170
"ATM7";"2017-03-13";19730
"ATM7";"2017-03-14";4560
"ATM7";"2017-03-15";11330
"ATM7";"2017-03-16";21090
"ATM7";"2017-03-17";13410
"ATM7";"2017-03-18";13320
"ATM7";"2017-03-19";8360
"ATM7";"2017-03-20";21830
"ATM7";"2017-03-21";7630
"ATM7";"2017-03-22";11510
"ATM7";"2017-03-23";18830
"ATM7";"2017-03-24";25510
"ATM7";"2017-03-25";12290
"ATM7";"2017-03-26";8620
"ATM7";"2017-03-27";17540
"ATM7";"2017-03-28";11870
"ATM7";"2017-03-29";11130
"ATM7";"2017-03-30";17140
"ATM7";"2017-03-31";12940
"ATM7";"2017-04-01";17790
"ATM7";"2017-04-02";6020
"ATM7";"2017-04-03";15450
"ATM7";"2017-04-04";10870
"ATM7";"2017-04-05";9180
"ATM7";"2017-04-06";19910
"ATM7";"2017-04-07";21120
"ATM7";"2017-04-08";11290
"ATM7";"2017-04-09";5530
"ATM7";"2017-04-10";16670
"ATM7";"2017-04-11";19650
"ATM7";"2017-04-12";17360
"ATM7";"2017-04-13";14440
"ATM7";"2017-04-14";14410
"ATM7";"2017-04-15";2150
"ATM7";"2017-04-18";25340
"ATM7";"2017-04-19";26290
"ATM7";"2017-04-20";16350
"ATM7";"2017-04-21";23310
"ATM7";"2017-04-22";9160
"ATM7";"2017-04-23";1370
"ATM7";"2017-04-24";12060
"ATM7";"2017-04-25";21110
"ATM7";"2017-04-26";11720
"ATM7";"2017-04-27";15730
"ATM7";"2017-04-28";14310
