"Atm";"ProcessDate";"Withdrawal"
"ATM9";"2017-01-02";11410
"ATM9";"2017-01-03";14850
"ATM9";"2017-01-04";10440
"ATM9";"2017-01-05";9410
"ATM9";"2017-01-07";6990
"ATM9";"2017-01-08";11240
"ATM9";"2017-01-09";16500
"ATM9";"2017-01-10";33440
"ATM9";"2017-01-11";18970
"ATM9";"2017-01-12";34940
"ATM9";"2017-01-13";14360
"ATM9";"2017-01-14";10100
"ATM9";"2017-01-15";7880
"ATM9";"2017-01-16";5710
"ATM9";"2017-01-17";25450
"ATM9";"2017-01-18";9100
"ATM9";"2017-01-19";12180
"ATM9";"2017-01-20";14910
"ATM9";"2017-01-21";11120
"ATM9";"2017-01-22";8880
"ATM9";"2017-01-23";17490
"ATM9";"2017-01-24";23260
"ATM9";"2017-01-25";14160
"ATM9";"2017-01-26";12840
"ATM9";"2017-01-27";23410
"ATM9";"2017-01-28";35310
"ATM9";"2017-01-29";11190
"ATM9";"2017-01-30";19020
"ATM9";"2017-01-31";52920
"ATM9";"2017-02-01";23590
"ATM9";"2017-02-02";35060
"ATM9";"2017-02-03";29730
"ATM9";"2017-02-04";12360
"ATM9";"2017-02-05";18580
"ATM9";"2017-02-06";6140
"ATM9";"2017-02-07";26350
"ATM9";"2017-02-08";14610
"ATM9";"2017-02-09";15850
"ATM9";"2017-02-10";25100
"ATM9";"2017-02-11";19340
"ATM9";"2017-02-12";7140
"ATM9";"2017-02-13";26780
"ATM9";"2017-02-14";11920
"ATM9";"2017-02-15";31910
"ATM9";"2017-02-16";41630
"ATM9";"2017-02-17";13870
"ATM9";"2017-02-18";11270
"ATM9";"2017-02-19";6630
"ATM9";"2017-02-20";14120
"ATM9";"2017-02-21";20610
"ATM9";"2017-02-22";20750
"ATM9";"2017-02-23";19520
"ATM9";"2017-02-24";35750
"ATM9";"2017-02-25";13760
"ATM9";"2017-02-26";5950
"ATM9";"2017-02-27";16890
"ATM9";"2017-02-28";32010
"ATM9";"2017-03-01";31910
"ATM9";"2017-03-02";34040
"ATM9";"2017-03-03";48610
"ATM9";"2017-03-04";15810
"ATM9";"2017-03-05";31150
"ATM9";"2017-03-06";42190
"ATM9";"2017-03-07";13540
"ATM9";"2017-03-08";28110
"ATM9";"2017-03-09";32500
"ATM9";"2017-03-10";30930
"ATM9";"2017-03-11";29650
"ATM9";"2017-03-12";18610
"ATM9";"2017-03-13";18170
"ATM9";"2017-03-14";25830
"ATM9";"2017-03-15";12230
"ATM9";"2017-03-16";27350
"ATM9";"2017-03-17";16190
"ATM9";"2017-03-18";22740
"ATM9";"2017-03-19";14820
"ATM9";"2017-03-20";13950
"ATM9";"2017-03-21";9760
"ATM9";"2017-03-22";27580
"ATM9";"2017-03-23";23000
"ATM9";"2017-03-24";46010
"ATM9";"2017-03-25";14540
"ATM9";"2017-03-26";7940
"ATM9";"2017-03-27";22470
"ATM9";"2017-03-28";27940
"ATM9";"2017-03-29";21410
"ATM9";"2017-03-30";25140
"ATM9";"2017-03-31";61170
"ATM9";"2017-04-01";18180
"ATM9";"2017-04-02";11270
"ATM9";"2017-04-03";40310
"ATM9";"2017-04-04";22470
"ATM9";"2017-04-05";26860
"ATM9";"2017-04-06";30420
"ATM9";"2017-04-07";39260
"ATM9";"2017-04-08";21030
"ATM9";"2017-04-09";20930
"ATM9";"2017-04-10";27710
"ATM9";"2017-04-11";28900
"ATM9";"2017-04-12";18260
"ATM9";"2017-04-13";24320
"ATM9";"2017-04-14";27960
"ATM9";"2017-04-15";8450
"ATM9";"2017-04-18";20110
"ATM9";"2017-04-19";23210
"ATM9";"2017-04-20";26480
"ATM9";"2017-04-21";32790
"ATM9";"2017-04-22";11190
"ATM9";"2017-04-23";8180
"ATM9";"2017-04-24";22130
"ATM9";"2017-04-25";28430
"ATM9";"2017-04-26";14940
"ATM9";"2017-04-27";21960
"ATM9";"2017-04-28";41190
"ATM9";"2017-04-29";34830
"ATM9";"2017-04-30";10690
"ATM9";"2017-05-02";14710
"ATM9";"2017-05-04";21660
"ATM9";"2017-05-05";13370
"ATM9";"2017-05-06";18870
"ATM9";"2017-05-07";14300
"ATM9";"2017-05-08";52270
"ATM9";"2017-05-09";35720
"ATM9";"2017-05-10";30110
"ATM9";"2017-05-11";42160
"ATM9";"2017-05-12";23780
"ATM9";"2017-05-13";26580
"ATM9";"2017-05-14";19830
"ATM9";"2017-05-15";23260
"ATM9";"2017-05-16";44340
"ATM9";"2017-05-17";35990
"ATM9";"2017-05-18";21750
"ATM9";"2017-05-19";41610
"ATM9";"2017-05-20";17150
"ATM9";"2017-05-21";15170
"ATM9";"2017-05-22";26140
"ATM9";"2017-05-23";17560
"ATM9";"2017-05-24";44680
"ATM9";"2017-05-25";19790
"ATM9";"2017-05-26";37480
"ATM9";"2017-05-27";20860
"ATM9";"2017-05-28";9170
"ATM9";"2017-05-29";37030
"ATM9";"2017-05-30";18260
"ATM9";"2017-05-31";21810
"ATM9";"2017-06-01";48870
"ATM9";"2017-06-02";17890
"ATM9";"2017-06-03";17280
"ATM9";"2017-06-05";31230
"ATM9";"2017-06-06";39650
"ATM9";"2017-06-07";22380
"ATM9";"2017-06-08";41460
"ATM9";"2017-06-09";42300
"ATM9";"2017-06-10";18830
"ATM9";"2017-06-11";23130
"ATM9";"2017-06-12";24580
"ATM9";"2017-06-13";27330
"ATM9";"2017-06-14";50690
"ATM9";"2017-06-16";19110
"ATM9";"2017-06-17";15530
"ATM9";"2017-06-18";17670
"ATM9";"2017-06-19";40780
"ATM9";"2017-06-20";22620
"ATM9";"2017-06-21";35020
"ATM9";"2017-06-22";27230
"ATM9";"2017-06-23";33190
"ATM9";"2017-06-24";9440
"ATM9";"2017-06-25";8020
"ATM9";"2017-06-26";18370
"ATM9";"2017-06-27";24250
"ATM9";"2017-06-28";29760
"ATM9";"2017-06-29";35820
"ATM9";"2017-06-30";81160
"ATM9";"2017-07-01";23130
"ATM9";"2017-07-02";18230
"ATM9";"2017-07-03";2590
"ATM9";"2017-07-04";22470
"ATM9";"2017-07-05";21800
"ATM9";"2017-07-06";50230
"ATM9";"2017-07-07";13230
"ATM9";"2017-07-09";12240
"ATM9";"2017-07-10";38920
