"Atm";"ProcessDate";"Withdrawal"
"ATM1";"2017-01-02";31950
"ATM1";"2017-01-03";18800
"ATM1";"2017-01-04";16180
"ATM1";"2017-01-05";39100
"ATM1";"2017-01-07";19450
"ATM1";"2017-01-09";34460
"ATM1";"2017-01-10";40860
"ATM1";"2017-01-11";34330
"ATM1";"2017-01-12";33620
"ATM1";"2017-01-13";29160
"ATM1";"2017-01-14";9590
"ATM1";"2017-01-15";200
"ATM1";"2017-01-16";32130
"ATM1";"2017-01-17";28610
"ATM1";"2017-01-18";28020
"ATM1";"2017-01-19";23220
"ATM1";"2017-01-20";30710
"ATM1";"2017-01-21";10880
"ATM1";"2017-01-23";27570
"ATM1";"2017-01-24";29810
"ATM1";"2017-01-25";28630
"ATM1";"2017-01-26";32870
"ATM1";"2017-01-27";39310
"ATM1";"2017-01-28";4820
"ATM1";"2017-01-30";24180
"ATM1";"2017-01-31";50320
"ATM1";"2017-02-01";35730
"ATM1";"2017-02-02";52750
"ATM1";"2017-02-03";41250
"ATM1";"2017-02-04";20650
"ATM1";"2017-02-06";38720
"ATM1";"2017-02-07";31360
"ATM1";"2017-02-08";42150
"ATM1";"2017-02-09";28710
"ATM1";"2017-02-10";54280
"ATM1";"2017-02-11";12350
"ATM1";"2017-02-13";47890
"ATM1";"2017-02-14";36940
"ATM1";"2017-02-15";17700
"ATM1";"2017-02-16";34820
"ATM1";"2017-02-17";35880
"ATM1";"2017-02-18";14140
"ATM1";"2017-02-20";33350
"ATM1";"2017-02-21";33610
"ATM1";"2017-02-22";31160
"ATM1";"2017-02-23";29130
"ATM1";"2017-02-24";38720
"ATM1";"2017-02-25";17650
"ATM1";"2017-02-27";37170
"ATM1";"2017-02-28";46850
"ATM1";"2017-03-01";32150
"ATM1";"2017-03-02";39000
"ATM1";"2017-03-03";42700
"ATM1";"2017-03-04";20820
"ATM1";"2017-03-05";200
"ATM1";"2017-03-06";45300
"ATM1";"2017-03-07";26450
"ATM1";"2017-03-08";41150
"ATM1";"2017-03-09";37510
"ATM1";"2017-03-10";43860
"ATM1";"2017-03-11";17710
"ATM1";"2017-03-13";33220
"ATM1";"2017-03-14";32650
"ATM1";"2017-03-15";43470
"ATM1";"2017-03-16";29980
"ATM1";"2017-03-17";51380
"ATM1";"2017-03-18";7450
"ATM1";"2017-03-20";29070
"ATM1";"2017-03-21";38870
"ATM1";"2017-03-22";38810
"ATM1";"2017-03-23";30890
"ATM1";"2017-03-24";46720
"ATM1";"2017-03-25";17490
"ATM1";"2017-03-27";49400
"ATM1";"2017-03-28";36770
"ATM1";"2017-03-29";52940
"ATM1";"2017-03-30";37600
"ATM1";"2017-03-31";40000
"ATM1";"2017-04-01";11300
"ATM1";"2017-04-03";58880
"ATM1";"2017-04-04";52450
"ATM1";"2017-04-05";23360
"ATM1";"2017-04-06";33980
"ATM1";"2017-04-07";43690
"ATM1";"2017-04-08";15070
"ATM1";"2017-04-09";50
"ATM1";"2017-04-10";49670
"ATM1";"2017-04-11";46700
"ATM1";"2017-04-12";37620
"ATM1";"2017-04-13";31260
"ATM1";"2017-04-14";36280
"ATM1";"2017-04-15";1590
"ATM1";"2017-04-18";36790
"ATM1";"2017-04-19";35330
"ATM1";"2017-04-20";42100
"ATM1";"2017-04-21";39210
"ATM1";"2017-04-22";13010
