"Atm";"ProcessDate";"Withdrawal"
"ATM5";"2017-01-01";930
"ATM5";"2017-01-02";5870
"ATM5";"2017-01-03";2750
"ATM5";"2017-01-04";3520
"ATM5";"2017-01-07";3150
"ATM5";"2017-01-08";650
"ATM5";"2017-01-09";5000
"ATM5";"2017-01-10";6780
"ATM5";"2017-01-11";10100
"ATM5";"2017-01-12";4800
"ATM5";"2017-01-13";5530
"ATM5";"2017-01-14";4960
"ATM5";"2017-01-15";950
"ATM5";"2017-01-16";3220
"ATM5";"2017-01-17";4210
"ATM5";"2017-01-18";14220
"ATM5";"2017-01-19";1560
"ATM5";"2017-01-20";5550
"ATM5";"2017-01-21";5000
"ATM5";"2017-01-22";3150
"ATM5";"2017-01-23";7830
"ATM5";"2017-01-24";7820
"ATM5";"2017-01-25";12540
"ATM5";"2017-01-26";6860
"ATM5";"2017-01-27";7230
"ATM5";"2017-01-28";7400
"ATM5";"2017-01-29";1040
"ATM5";"2017-01-30";16340
"ATM5";"2017-01-31";13380
"ATM5";"2017-02-01";7680
"ATM5";"2017-02-02";7050
"ATM5";"2017-02-03";9110
"ATM5";"2017-02-04";5800
"ATM5";"2017-02-05";2750
"ATM5";"2017-02-06";7650
"ATM5";"2017-02-07";4980
"ATM5";"2017-02-08";9880
"ATM5";"2017-02-09";5070
"ATM5";"2017-02-10";29230
"ATM5";"2017-02-11";8710
"ATM5";"2017-02-12";4400
"ATM5";"2017-02-13";5090
"ATM5";"2017-02-14";5290
"ATM5";"2017-02-15";21420
"ATM5";"2017-02-16";10070
"ATM5";"2017-02-17";19680
"ATM5";"2017-02-18";7210
"ATM5";"2017-02-19";3110
"ATM5";"2017-02-20";3320
"ATM5";"2017-02-21";5340
"ATM5";"2017-02-22";2290
"ATM5";"2017-02-23";8970
"ATM5";"2017-02-24";11180
"ATM5";"2017-02-25";6490
"ATM5";"2017-02-26";2250
"ATM5";"2017-02-27";9730
"ATM5";"2017-02-28";17160
"ATM5";"2017-03-01";6510
"ATM5";"2017-03-02";4540
"ATM5";"2017-03-03";16680
"ATM5";"2017-03-04";8850
"ATM5";"2017-03-05";5370
"ATM5";"2017-03-06";4960
"ATM5";"2017-03-07";18910
"ATM5";"2017-03-08";11210
"ATM5";"2017-03-09";7800
"ATM5";"2017-03-10";6780
"ATM5";"2017-03-11";4350
"ATM5";"2017-03-12";2550
"ATM5";"2017-03-13";6400
"ATM5";"2017-03-14";8090
"ATM5";"2017-03-15";10820
"ATM5";"2017-03-16";5830
"ATM5";"2017-03-17";7020
"ATM5";"2017-03-18";6190
"ATM5";"2017-03-19";2800
"ATM5";"2017-03-20";16820
"ATM5";"2017-03-21";7200
"ATM5";"2017-03-22";7260
"ATM5";"2017-03-23";4680
"ATM5";"2017-03-24";8960
"ATM5";"2017-03-25";6660
"ATM5";"2017-03-26";4250
"ATM5";"2017-03-27";6200
"ATM5";"2017-03-28";6170
"ATM5";"2017-03-29";2370
"ATM5";"2017-03-30";10810
"ATM5";"2017-03-31";11620
"ATM5";"2017-04-01";9740
"ATM5";"2017-04-02";4330
"ATM5";"2017-04-03";22110
"ATM5";"2017-04-04";10750
"ATM5";"2017-04-05";8460
"ATM5";"2017-04-06";16680
"ATM5";"2017-04-07";12240
"ATM5";"2017-04-08";10610
"ATM5";"2017-04-09";13760
"ATM5";"2017-04-10";25430
"ATM5";"2017-04-11";24740
"ATM5";"2017-04-12";20930
"ATM5";"2017-04-13";24960
"ATM5";"2017-04-14";20200
"ATM5";"2017-04-15";13280
"ATM5";"2017-04-16";9470
"ATM5";"2017-04-17";9130
"ATM5";"2017-04-18";18010
"ATM5";"2017-04-19";7320
"ATM5";"2017-04-20";12140
"ATM5";"2017-04-21";11630
"ATM5";"2017-04-22";11610
"ATM5";"2017-04-23";4200
"ATM5";"2017-04-24";8480
"ATM5";"2017-04-25";11520
"ATM5";"2017-04-26";15550
"ATM5";"2017-04-27";10740
"ATM5";"2017-04-28";29910
"ATM5";"2017-04-29";13750
"ATM5";"2017-04-30";22010
"ATM5";"2017-05-01";23160
"ATM5";"2017-05-02";23890
"ATM5";"2017-05-03";8620
"ATM5";"2017-05-05";17050
"ATM5";"2017-05-06";11560
"ATM5";"2017-05-07";9790
"ATM5";"2017-05-08";22780
"ATM5";"2017-05-09";22370
"ATM5";"2017-05-10";41560
"ATM5";"2017-05-11";24090
"ATM5";"2017-05-12";21410
"ATM5";"2017-05-13";19770
"ATM5";"2017-05-14";8710
"ATM5";"2017-05-15";23850
"ATM5";"2017-05-16";2740
"ATM5";"2017-05-17";13420
"ATM5";"2017-05-18";15940
"ATM5";"2017-05-19";14230
"ATM5";"2017-05-20";18960
"ATM5";"2017-05-21";6090
"ATM5";"2017-05-22";6600
"ATM5";"2017-05-23";8440
"ATM5";"2017-05-24";14050
"ATM5";"2017-05-25";19610
"ATM5";"2017-05-26";25040
"ATM5";"2017-05-27";36660
"ATM5";"2017-05-28";8460
"ATM5";"2017-05-29";14830
"ATM5";"2017-05-30";14070
"ATM5";"2017-05-31";16160
"ATM5";"2017-06-01";21250
"ATM5";"2017-06-02";23590
"ATM5";"2017-06-03";37260
"ATM5";"2017-06-04";6940
"ATM5";"2017-06-05";25080
"ATM5";"2017-06-06";13270
"ATM5";"2017-06-07";10250
"ATM5";"2017-06-08";16320
"ATM5";"2017-06-09";18050
"ATM5";"2017-06-10";19650
"ATM5";"2017-06-11";15230
"ATM5";"2017-06-12";23850
"ATM5";"2017-06-13";13560
"ATM5";"2017-06-14";20140
"ATM5";"2017-06-15";32720
"ATM5";"2017-06-16";25530
"ATM5";"2017-06-17";34100
"ATM5";"2017-06-18";27860
"ATM5";"2017-06-19";30120
"ATM5";"2017-06-20";10200
"ATM5";"2017-06-21";15450
"ATM5";"2017-06-22";18740
"ATM5";"2017-06-23";18950
"ATM5";"2017-06-24";30400
"ATM5";"2017-06-25";11860
"ATM5";"2017-06-26";17580
"ATM5";"2017-06-27";23110
"ATM5";"2017-06-28";15410
"ATM5";"2017-06-29";14410
"ATM5";"2017-06-30";27470
"ATM5";"2017-07-01";20430
"ATM5";"2017-07-02";21380
"ATM5";"2017-07-03";32610
"ATM5";"2017-07-04";27000
"ATM5";"2017-07-05";30210
