"Atm";"ProcessDate";"Withdrawal"
"ATM2";"2017-01-01";18200
"ATM2";"2017-01-02";8790
"ATM2";"2017-01-03";3620
"ATM2";"2017-01-04";3820
"ATM2";"2017-01-05";1590
"ATM2";"2017-01-06";27440
"ATM2";"2017-01-07";10770
"ATM2";"2017-01-08";8650
"ATM2";"2017-01-09";2370
"ATM2";"2017-01-10";4280
"ATM2";"2017-01-11";4750
"ATM2";"2017-01-12";4150
"ATM2";"2017-01-13";2290
"ATM2";"2017-01-14";8710
"ATM2";"2017-01-15";8730
"ATM2";"2017-01-16";14090
"ATM2";"2017-01-17";4130
"ATM2";"2017-01-18";8660
"ATM2";"2017-01-19";5390
"ATM2";"2017-01-20";10150
"ATM2";"2017-01-21";15770
"ATM2";"2017-01-22";9940
"ATM2";"2017-01-23";4190
"ATM2";"2017-01-24";5040
"ATM2";"2017-01-25";6680
"ATM2";"2017-01-26";5460
"ATM2";"2017-01-27";11230
"ATM2";"2017-01-28";24700
"ATM2";"2017-01-29";10940
"ATM2";"2017-01-30";3720
"ATM2";"2017-01-31";11750
"ATM2";"2017-02-01";13010
"ATM2";"2017-02-02";5640
"ATM2";"2017-02-03";7520
"ATM2";"2017-02-04";27710
"ATM2";"2017-02-05";12350
"ATM2";"2017-02-06";4150
"ATM2";"2017-02-07";1620
"ATM2";"2017-02-08";7970
"ATM2";"2017-02-09";6170
"ATM2";"2017-02-10";12370
"ATM2";"2017-02-11";16410
"ATM2";"2017-02-12";11720
"ATM2";"2017-02-13";4790
"ATM2";"2017-02-14";12930
"ATM2";"2017-02-15";14490
"ATM2";"2017-02-16";18680
"ATM2";"2017-02-17";11560
"ATM2";"2017-02-18";21800
"ATM2";"2017-02-19";21590
"ATM2";"2017-02-20";6370
"ATM2";"2017-02-21";12820
"ATM2";"2017-02-22";5120
"ATM2";"2017-02-23";11420
"ATM2";"2017-02-24";8910
"ATM2";"2017-02-25";16330
"ATM2";"2017-02-26";14450
"ATM2";"2017-02-27";9880
"ATM2";"2017-02-28";9130
"ATM2";"2017-03-01";9070
"ATM2";"2017-03-02";7070
"ATM2";"2017-03-03";10900
"ATM2";"2017-03-04";25720
"ATM2";"2017-03-05";11720
"ATM2";"2017-03-06";5540
"ATM2";"2017-03-07";3010
"ATM2";"2017-03-08";8800
"ATM2";"2017-03-09";4050
"ATM2";"2017-03-10";13030
"ATM2";"2017-03-11";22970
"ATM2";"2017-03-12";9570
"ATM2";"2017-03-13";3530
"ATM2";"2017-03-14";7450
"ATM2";"2017-03-15";12870
"ATM2";"2017-03-16";9930
"ATM2";"2017-03-17";7340
"ATM2";"2017-03-18";29030
"ATM2";"2017-03-19";12710
"ATM2";"2017-03-20";3420
"ATM2";"2017-03-21";6880
"ATM2";"2017-03-22";10400
"ATM2";"2017-03-23";12410
"ATM2";"2017-03-24";14930
