"Atm";"ProcessDate";"Withdrawal"
"ATM4";"2017-01-01";46690
"ATM4";"2017-01-02";48820
"ATM4";"2017-01-03";25520
"ATM4";"2017-01-04";30290
"ATM4";"2017-01-05";21680
"ATM4";"2017-01-06";27190
"ATM4";"2017-01-07";21400
"ATM4";"2017-01-08";12000
"ATM4";"2017-01-09";14300
"ATM4";"2017-01-10";15940
"ATM4";"2017-01-11";7330
"ATM4";"2017-01-12";13610
"ATM4";"2017-01-13";30200
"ATM4";"2017-01-14";30680
"ATM4";"2017-01-15";27760
"ATM4";"2017-01-16";28140
"ATM4";"2017-01-17";23210
"ATM4";"2017-01-18";30450
"ATM4";"2017-01-19";37340
"ATM4";"2017-01-20";44880
"ATM4";"2017-01-21";44970
"ATM4";"2017-01-22";39360
"ATM4";"2017-01-23";51070
"ATM4";"2017-01-24";32400
"ATM4";"2017-01-25";29280
"ATM4";"2017-01-26";42000
"ATM4";"2017-01-27";57770
"ATM4";"2017-01-28";52250
"ATM4";"2017-01-29";40040
"ATM4";"2017-01-30";20140
"ATM4";"2017-01-31";37580
"ATM4";"2017-02-01";26830
"ATM4";"2017-02-02";35970
"ATM4";"2017-02-03";54230
"ATM4";"2017-02-04";47250
"ATM4";"2017-02-05";37750
"ATM4";"2017-02-06";46870
"ATM4";"2017-02-07";31850
"ATM4";"2017-02-08";34730
"ATM4";"2017-02-09";36020
"ATM4";"2017-02-10";47170
"ATM4";"2017-02-11";64100
"ATM4";"2017-02-12";47190
"ATM4";"2017-02-13";47600
"ATM4";"2017-02-14";52920
"ATM4";"2017-02-15";44810
"ATM4";"2017-02-16";49150
"ATM4";"2017-02-17";57200
"ATM4";"2017-02-18";58200
"ATM4";"2017-02-19";44210
"ATM4";"2017-02-20";40330
"ATM4";"2017-02-21";43340
"ATM4";"2017-02-22";35530
"ATM4";"2017-02-23";47940
"ATM4";"2017-02-24";45620
"ATM4";"2017-02-25";50040
"ATM4";"2017-02-26";23600
"ATM4";"2017-02-27";16050
"ATM4";"2017-02-28";14080
"ATM4";"2017-03-01";9140
"ATM4";"2017-03-02";17160
"ATM4";"2017-03-03";16580
"ATM4";"2017-03-04";40090
"ATM4";"2017-03-05";29520
"ATM4";"2017-03-06";8730
"ATM4";"2017-03-07";8270
"ATM4";"2017-03-08";6950
"ATM4";"2017-03-09";7960
"ATM4";"2017-03-10";15140
